State	+	-	2	3	;	=	@	h	#	A	B	C	D	E	F	G	
  0  	-	-	-	-	-	-	-	S1	-	2	3	-	-	-	-	-	
  1  	-	-	r2	-	-	-	-	-	-	-	-	-	-	-	-	-	
  2  	-	-	-	-	-	-	-	-	acc	-	-	-	-	-	-	-	
  3  	-	-	S4	-	-	-	-	-	-	-	-	-	-	-	-	-	
  4  	-	-	-	-	S5	S6	-	-	-	-	-	7	-	-	-	-	
  5  	-	-	-	-	r4	-	-	-	-	-	-	-	-	-	-	-	
  6  	-	-	S8	S9	-	-	-	-	-	-	-	-	10	11	-	-	
  7  	-	-	-	-	S12	-	-	-	-	-	-	-	-	-	-	-	
  8  	r6	r6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
  9  	r7	r7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
  10  	-	-	-	-	r3	-	-	-	-	-	-	-	-	-	-	-	
  11  	S13	S14	-	-	-	-	-	-	-	-	-	-	-	-	15	-	
  12  	-	-	-	-	-	-	S16	-	r10	-	-	-	-	-	-	17	
  13  	-	-	r8	r8	-	-	-	-	-	-	-	-	-	-	-	-	
  14  	-	-	r9	r9	-	-	-	-	-	-	-	-	-	-	-	-	
  15  	-	-	S18	S19	-	-	-	-	-	-	-	-	-	20	-	-	
  16  	-	-	-	-	-	-	-	-	r10	-	-	-	-	-	-	-	
  17  	-	-	-	-	-	-	-	-	r1	-	-	-	-	-	-	-	
  18  	-	-	-	-	r6	-	-	-	-	-	-	-	-	-	-	-	
  19  	-	-	-	-	r7	-	-	-	-	-	-	-	-	-	-	-	
  20  	-	-	-	-	r5	-	-	-	-	-	-	-	-	-	-	-	
